link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2,phase,alt_diff,vel_diff,acc_proxy,alt_rolling_mean,vel_rolling_mean,alt_rolling_std,vel_rolling_std,speed_abs,is_ascending,flight_id
1,992,3,0,393897,-82899,0,5,99,0,0,Boost,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5,1,0
2,992,3,0,393897,-82899,0,5,99,0,0,Boost,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5,1,0
1,993,3,0,393897,-82899,1,12,99,0,0,Boost,1.0,7.0,1.0,0.3333333333333333,7.333333333333333,0.5773502691896258,4.041451884327381,12,1,0
2,993,3,0,393897,-82899,1,12,99,0,0,Boost,0.0,0.0,-1.0,0.5,8.5,0.5773502691896257,4.041451884327381,12,1,0
1,994,3,0,393897,-82899,3,19,99,0,0,Boost,2.0,7.0,2.0,1.0,10.6,1.224744871391589,5.856620185738529,19,1,0
2,994,3,0,393897,-82899,3,19,99,0,0,Boost,0.0,0.0,-2.0,1.6,13.4,1.3416407864998738,5.856620185738529,19,1,0
1,995,3,0,393897,-82899,5,27,99,0,0,Boost,2.0,8.0,2.0,2.6,17.8,1.6733200530681511,6.220932405998316,27,1,0
2,995,3,0,393897,-82899,5,27,99,0,0,Boost,0.0,0.0,-2.0,3.4,20.8,1.6733200530681511,6.340346993658942,27,1,0
1,996,3,0,393897,-82899,8,34,99,0,0,Boost,3.0,7.0,3.0,4.8,25.2,2.04939015319192,6.340346993658942,34,1,0
2,996,3,0,393897,-82899,8,34,99,0,0,Boost,0.0,0.0,-3.0,5.8,28.2,2.16794833886788,6.220932405998315,34,1,0
1,998,3,0,393897,-82899,16,48,99,0,0,Boost,8.0,14.0,8.0,8.4,34.0,4.505552130427524,8.573214099741122,48,1,0
2,999,3,0,393897,-82899,22,55,99,0,0,Boost,6.0,7.0,-2.0,11.8,39.6,7.014271166700072,11.502173707608488,55,1,0
1,1000,3,0,393897,-82899,27,62,99,0,0,Boost,5.0,7.0,-1.0,16.2,46.6,8.438009243891594,12.52198067399882,62,1,0
2,1000,3,0,393897,-82899,27,62,99,0,0,Boost,0.0,0.0,-5.0,20.0,52.2,8.093207028119322,11.713240371477054,62,1,0
1,1001,3,0,393897,-82899,34,69,99,0,0,Boost,7.0,7.0,7.0,25.2,59.2,6.685805860178711,7.98122797569396,69,1,0
2,1001,3,0,393897,-82899,34,69,99,0,0,Boost,0.0,0.0,-7.0,28.8,63.4,5.167204273105524,5.85662018573852,69,1,0
1,1002,3,0,393897,-82899,41,76,99,0,0,Boost,7.0,7.0,7.0,32.6,67.6,5.856620185738527,5.856620185738521,76,1,0
2,1002,3,0,393897,-82899,41,76,99,0,0,Boost,0.0,0.0,-7.0,35.4,70.4,5.856620185738527,5.856620185738521,76,1,0
1,1003,3,0,393897,-82899,49,83,99,0,0,Boost,8.0,7.0,8.0,39.8,74.6,6.220932405998316,5.856620185738521,83,1,0
2,1003,3,0,393897,-82899,49,83,99,0,0,Boost,0.0,0.0,-8.0,42.8,77.4,6.340346993658944,5.856620185738521,83,1,0
1,1005,3,0,393897,-82899,67,97,99,0,0,Boost,18.0,14.0,18.0,49.4,83.0,10.620734437881405,8.573214099741117,97,1,0
2,1005,3,0,393897,-82899,67,97,99,0,0,Boost,0.0,0.0,-18.0,54.6,87.2,11.781341180018513,9.39148550549911,97,1,0
1,1006,3,0,393897,-82898,77,104,99,0,0,Boost,10.0,7.0,10.0,61.8,92.8,12.377398757412642,9.39148550549911,104,1,0
2,1006,3,0,393897,-82898,77,104,99,0,0,Boost,0.0,0.0,-10.0,67.4,97.0,11.436782764396638,8.573214099741117,104,1,0
1,1010,3,0,393898,-82898,123,131,99,0,0,Boost,46.0,27.0,46.0,82.2,106.6,23.34951819631403,14.081903280451828,131,1,0
2,1014,3,0,393898,-82898,177,156,99,0,0,Boost,54.0,25.0,8.0,104.2,118.4,46.14325519509866,24.724481794367296,156,1,0
2,1019,3,0,393898,-82898,252,184,99,0,0,Boost,75.0,28.0,21.0,141.2,135.8,74.38548245457577,34.557198960563916,184,1,0
2,1025,3,0,393898,-82899,346,211,99,0,0,Boost,94.0,27.0,19.0,195.0,157.2,106.6325466262529,42.22203216331492,211,1,0
1,1030,3,0,393899,-82899,426,229,99,0,0,Boost,80.0,18.0,-14.0,264.8,182.2,123.04348824704215,39.7831622674719,229,1,0
2,1030,3,0,393899,-82899,426,229,99,0,0,Boost,0.0,0.0,-80.0,325.4,201.8,109.63028778581219,31.538864912992675,229,1,0
1,1033,3,0,393899,-82899,474,228,99,0,0,Boost,48.0,-1.0,48.0,384.8,216.2,87.31093860450706,19.56271964732921,228,1,0
2,1033,3,0,393899,-82899,474,228,99,0,0,Boost,0.0,0.0,-48.0,429.2,225.0,52.337367148147614,7.842193570679086,228,1,0
1,1034,4,0,393899,-82899,490,224,99,0,0,Coast,16.0,-4.0,16.0,458.0,227.6,29.933259094191556,2.0736441353328665,224,1,0
2,1034,4,0,393899,-82899,490,224,99,0,0,Coast,0.0,0.0,-16.0,470.8,226.6,26.290682760247996,2.4083189157585387,224,1,0
1,1035,4,0,393899,-82899,507,220,99,0,0,Coast,17.0,-4.0,17.0,487.0,224.8,13.747727084867561,3.3466401061363613,220,1,0
2,1035,4,0,393899,-82899,507,220,99,0,0,Coast,0.0,0.0,-17.0,493.6,223.2,13.867227552759097,3.3466401061363613,220,1,0
1,1036,4,0,393899,-82899,523,217,99,0,0,Coast,16.0,-3.0,16.0,503.4,221.0,13.867227552759097,3.0000000000000635,217,1,0
1,1037,4,0,393899,-82899,540,213,99,0,0,Coast,17.0,-4.0,1.0,513.4,218.8,18.902380802428073,4.086563348340559,213,1,0
2,1037,4,0,393899,-82899,540,213,99,0,0,Coast,0.0,0.0,-17.0,523.4,216.6,16.501515081955404,3.5071355833500952,213,1,0
2,1038,4,0,393899,-82899,557,210,99,0,0,Coast,17.0,-3.0,17.0,533.4,214.6,19.03417978269623,3.9115214431216403,210,1,0
1,1041,4,0,393899,-82899,611,202,99,0,0,Coast,54.0,-8.0,37.0,554.2,211.0,33.95143590483326,5.612486080160947,202,1,0
2,1041,4,0,393899,-82899,611,202,99,0,0,Coast,0.0,0.0,-54.0,571.8,208.0,36.45133742402329,5.612486080160947,202,1,0
1,1042,4,0,393899,-82899,630,200,99,0,0,Coast,19.0,-2.0,19.0,589.8,205.4,38.957669334804955,5.7271284253105765,200,1,0
1,1043,4,0,393899,-82899,650,198,99,0,0,Coast,20.0,-2.0,1.0,611.8,202.4,34.6222471829892,4.560701700396598,198,1,0
